"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","should add two numbers correctly","Math utilities","Thu Oct 23 19:24:25 IST 2025","passed","Thu Oct 23 19:24:25 IST 2025","","","",""
"","518","should let a user register and then show the login page","The Register Page","Thu Oct 23 19:24:26 IST 2025","passed","Thu Oct 23 19:24:26 IST 2025","","","",""
"","187","4. should display ""An unexpected error occurred"" for a network failure","The Login Page Use Cases","Thu Oct 23 19:24:27 IST 2025","passed","Thu Oct 23 19:24:27 IST 2025","","","",""
"","155","renders with correct text","Button Component","Thu Oct 23 19:24:25 IST 2025","passed","Thu Oct 23 19:24:25 IST 2025","","","",""
"","0","should multiply two numbers correctly","Math utilities","Thu Oct 23 19:24:25 IST 2025","passed","Thu Oct 23 19:24:25 IST 2025","","","",""
"","84","renders the home page correctly","Home Page","Thu Oct 23 19:24:26 IST 2025","passed","Thu Oct 23 19:24:26 IST 2025","","","",""
"","161","should","Home Page","Thu Oct 23 19:24:26 IST 2025","passed","Thu Oct 23 19:24:26 IST 2025","","","",""
"","211","2. should show an error message with incorrect credentials and stay on login page","The Login Page Use Cases","Thu Oct 23 19:24:26 IST 2025","passed","Thu Oct 23 19:24:27 IST 2025","","","",""
"","0","should handle negative numbers","Math utilities","Thu Oct 23 19:24:25 IST 2025","passed","Thu Oct 23 19:24:25 IST 2025","","","",""
"","3","show the value","Testing","Thu Oct 23 19:24:25 IST 2025","passed","Thu Oct 23 19:24:25 IST 2025","","","",""
"","1","should find the status message element","Minimal UI Checks for CI","Thu Oct 23 19:24:25 IST 2025","passed","Thu Oct 23 19:24:25 IST 2025","","","",""
"","201","6. should clear a previous error message on a successful subsequent login","The Login Page Use Cases","Thu Oct 23 19:24:27 IST 2025","passed","Thu Oct 23 19:24:27 IST 2025","","","",""
"","465","1. should let a user log in, save token/username, and navigate to the home page","The Login Page Use Cases","Thu Oct 23 19:24:26 IST 2025","passed","Thu Oct 23 19:24:26 IST 2025","","","",""
"","28","should find the title element and be in the document","Minimal UI Checks for CI","Thu Oct 23 19:24:25 IST 2025","passed","Thu Oct 23 19:24:25 IST 2025","","","",""
"","40","calls onClick handler when clicked","Button Component","Thu Oct 23 19:24:25 IST 2025","passed","Thu Oct 23 19:24:25 IST 2025","","","",""
"","290","should show an error if the email is already registered","The Register Page","Thu Oct 23 19:24:26 IST 2025","passed","Thu Oct 23 19:24:27 IST 2025","","","",""
"","34","5. should navigate to the /register page when the Register link is clicked","The Login Page Use Cases","Thu Oct 23 19:24:27 IST 2025","passed","Thu Oct 23 19:24:27 IST 2025","","","",""
"","30","3. should show a validation error if fields are empty and not call the API","The Login Page Use Cases","Thu Oct 23 19:24:27 IST 2025","passed","Thu Oct 23 19:24:27 IST 2025","","","",""
